id,cohort,freq,level,mag,phase
WT-1,WT (mixed C57BL/6:FVB),12,20,NA,NA
WT-1,WT (mixed C57BL/6:FVB),12,30,NA,NA
WT-1,WT (mixed C57BL/6:FVB),12,40,NA,NA
WT-1,WT (mixed C57BL/6:FVB),12,50,0.834601050519886,-35.663528343343636
WT-1,WT (mixed C57BL/6:FVB),12,60,NA,NA
WT-1,WT (mixed C57BL/6:FVB),12,70,0.839830521618142,-37.54742278141789
WT-1,WT (mixed C57BL/6:FVB),12,80,0.968013896490702,-38.07379849058031
WT-1,WT (mixed C57BL/6:FVB),12.5,10,NA,NA
WT-1,WT (mixed C57BL/6:FVB),12.5,20,NA,NA
WT-1,WT (mixed C57BL/6:FVB),12.5,30,NA,NA
WT-1,WT (mixed C57BL/6:FVB),12.5,40,NA,NA
WT-1,WT (mixed C57BL/6:FVB),12.5,50,NA,NA
WT-1,WT (mixed C57BL/6:FVB),12.5,60,NA,NA
WT-1,WT (mixed C57BL/6:FVB),12.5,70,NA,NA
WT-1,WT (mixed C57BL/6:FVB),12.5,80,NA,NA
WT-1,WT (mixed C57BL/6:FVB),13,10,NA,NA
WT-1,WT (mixed C57BL/6:FVB),13,20,NA,NA
WT-1,WT (mixed C57BL/6:FVB),13,30,NA,NA
WT-1,WT (mixed C57BL/6:FVB),13,40,NA,NA
WT-1,WT (mixed C57BL/6:FVB),13,50,NA,NA
WT-1,WT (mixed C57BL/6:FVB),13,60,NA,NA
WT-1,WT (mixed C57BL/6:FVB),13,70,NA,NA
WT-1,WT (mixed C57BL/6:FVB),13,80,NA,NA
WT-1,WT (mixed C57BL/6:FVB),13.5,10,NA,NA
WT-1,WT (mixed C57BL/6:FVB),13.5,20,NA,NA
WT-1,WT (mixed C57BL/6:FVB),13.5,30,NA,NA
WT-1,WT (mixed C57BL/6:FVB),13.5,40,NA,NA
WT-1,WT (mixed C57BL/6:FVB),13.5,50,NA,NA
WT-1,WT (mixed C57BL/6:FVB),13.5,60,NA,NA
WT-1,WT (mixed C57BL/6:FVB),13.5,70,NA,NA
WT-1,WT (mixed C57BL/6:FVB),13.5,80,NA,NA
WT-1,WT (mixed C57BL/6:FVB),14,10,NA,NA
WT-1,WT (mixed C57BL/6:FVB),14,20,NA,NA
WT-1,WT (mixed C57BL/6:FVB),14,30,NA,NA
WT-1,WT (mixed C57BL/6:FVB),14,40,NA,NA
WT-1,WT (mixed C57BL/6:FVB),14,50,NA,NA
WT-1,WT (mixed C57BL/6:FVB),14,60,NA,NA
WT-1,WT (mixed C57BL/6:FVB),14,70,NA,NA
WT-1,WT (mixed C57BL/6:FVB),14,80,0.815436346698386,-41.73726964305808
WT-2,WT (mixed C57BL/6:FVB),2,10,NA,NA
WT-2,WT (mixed C57BL/6:FVB),2,20,NA,NA
WT-2,WT (mixed C57BL/6:FVB),2,30,NA,NA
WT-2,WT (mixed C57BL/6:FVB),2,40,NA,NA
